Sample.ID,SpeciesCode,Tree,Core,Terrace,Sample.ID.2,No.Tips,BlastID,Ectomycorrhizal,Trait.ForagingType,Trait.ForagingType,Trait.Hydrophobicity,Trait.Rhizomorphs,Trait.HostTree,SequencingNotes,,,,Alt ID,Alt Seq File,note,note
T5_1B,3,1,B,5,T01-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,9-7B_4A_Rnd2_3_F08_F_2.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces muricatus (97%),y,shortdistance,,n,n,Picea,9-8C_GenPri,low qual,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1A_GenPri_Plate1_H08_2.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1D_GenPri_Rnd2.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2B_GenPri_Plate1_D09.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2G_GenPri_Plate1_H09.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7E_GenPri_Plate8_D07.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7H_GenPri_Plate8_G07.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-8H_GenPri_Plate8_F08.ab1,,,,,,,
T5_1B,9,1,B,5,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-7G_GenPri_Plate8_F07.ab1,,,,,,,
T5_1B,9,1,B,5,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-8A_4B_Rnd2_2_G04_F_2.ab1,,,,,,,
T5_1B,65,1,B,5,T01-B,1,Uncultured Atheliaceae,y,,,,,,9-7C_GenPri_Plate8_C07.ab1,,,,,,,
T5_1A,8,1,A,5,T01-A,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,2-2H_GenPri_Plate1_A10.ab1,,,,,,,
T5_1B,8,1,B,5,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8F_GenPri_Plate8_D08.ab1,,,,,,,
T5_1B,8,1,B,5,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8G_GenPri_Plate8_E08.ab1,,,,,,,
T5_1A,32,1,A,5,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_4B_Plate10_A09.ab1
T5_1A,32,1,A,5,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_GenPri_Plate1_F09_2.ab1
T5_1A,35,1,A,5,T01-A,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,2-1E_4A_Rnd2_2_G08_F_2.ab1
T5_2B,3,2,B,5,T02-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,11-2F_GenPri_Plate10_D01.ab1
T5_2A,3,2,A,5,T02-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,6-1B_GenPri_Plate5_E04.ab1
T5_2B,36,2,B,5,T02-B,1,Helotiaceae/Sordariomycetes/Phialophora/Magnaporthaceae,y,,,,,,11-2B_GenPri_Plate9_H12.ab1
T5_2B,5,2,B,5,T02-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,11-2H_GenPri_Plate10_F01.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-1H_GenPri_Plate5_B05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2A_GenPri_Plate5_C05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2B_4B_Plate5_D05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2C_4B_Rnd2.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2D_4B_Plate5_F05.ab1
T5_2A,58,2,A,5,T02-A,1,Uncultured Mortierella,y,,,,,,6-2F_GenPri_Plate5_H05.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10B_GenPri_Plate1_D08.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10C_GenPri_Plate1_E08.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-9E_GenPri_Plate1_G07.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-9H_GenPri_Plate1_B08_2.ab1,
T5_3B,25,3,B,5,T03-B,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,10-8E_4B_Rnd2_2_A06_F_2.ab1,
T5_3B,25,3,B,5,T03-B,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,10-8E_GenPri_Plate9_D07.ab1,
T5_3B,20,3,B,5,T03-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,10-7B_4B_Plate9_B06.ab1,
T5_3B,20,3,B,5,T03-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,10-7C_4B_Plate9_C06.ab1,
T5_3B,20,3,B,5,T03-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,10-8D_4B_Plate9_B07.ab1,
T5_3B,54,3,B,5,T03-B,1,Lactarius xanthogalactus,y,mediumdistancesmooth,contact,,y,Pinus,10-7G_GenPri_Plate9_F06.ab1,
T5_3B,24,3,B,5,T03-B,1,Uncultured Helotiales (likely Meliniomyces),y,,,,,,10-7D_4A_Rnd2_3_A10_F_2.ab1,
T5_4A,3,4,A,5,T04-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,2-8F_4A_Rnd2_2_G09_F_2.ab1,
T5_4B,3,4,B,5,T04-B,1,Cenococcum geophilum (93% match),y,shortdistance,,n,n,Pinus,10-10H_4A,low qual
T5_4A,45,4,A,5,T04-A,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,2-8H_GenPri_Plate2_B03.ab1,
T5_4B,73,4,B,5,T04-B,1,Phellodon tomentosus (86% match),y,mediumdistancemat,,,y,Picea,10-10E_GenPri,
T5_4B,37,4,B,5,T04-B,1,Phialocephala fortinii,y,,,,,,10-9D_GenPri_Plate9_C08.ab1,
T5_4B,37,4,B,5,T04-B,1,Phialocephala fortinii,y,,,,,,10-9H_GenPri_Plate9_G08.ab1,
T5_4A,77,4,A,5,T04-A,1,Sarcodon fuscoindicus (93% match),y,mediumdistancemat,,,y,Picea,2-8B_4B,
T5_4A,9,4,A,5,T04-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,2-7E_4B_Plate2_G01.ab1,
T5_4B,58,4,B,5,T04-B,1,Uncultured Mortierella,y,,,,,,10-10A_GenPri_Plate9_H08.ab1,
T5_5A,3,5,A,5,T05-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-4D_4A,low qual
T5_5A,40,5,A,5,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-3C_GenPri_Plate4_B07.ab1,
T5_5A,40,5,A,5,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-3F_GenPri_Plate4_E07.ab1,
T5_5A,40,5,A,5,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-4E_4B_Plate4_D08.ab1,
T5_5A,40,5,A,5,T05-A,1,Cortinarius acutus,y,mediumdistancefringe,,y,y,Pinus,5-4F_4B_Plate4_E08.ab1,
T5_5B,20,5,B,5,T05-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,11-8F_4B_Plate10_H06.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3A_4B_Rnd2_1_G08_F_2.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3B_GenPri_Plate4_A07.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3D_4B_Plate4_C06.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3E_4B_Plate4_D07.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-3H_GenPri_Plate4_G07.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4A_GenPri_Plate4_H07.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4B_GenPri_Plate4_A08.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4C_4B_Plate4_B08.ab1,
T5_5A,19,5,A,5,T05-A,1,Hydnum repandum,y,mediumdistancefringe,,,y,Picea,5-4G_GenPri_Plate4_F08.ab1,
T5_5B,26,5,B,5,T05-B,1,Leccinum aurantiacum/variicolor/piceinum/manzanitae/pulchrum/vulpinum,y,longdistance,,,y,Betula,11-8B_GenPri_Plate10_D06.ab1,
T5_5B,15,5,B,5,T05-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,11-8H_GenPri_Plate10_B07.ab1,
