,Sample.ID,SpeciesCode,Tree,Core,Terrace,Pygmy,Sample.ID.2,No.Tips,BlastID,Ectomycorrhizal,Trait.ForagingType,Trait.ForagingType.1,Trait.Hydrophobicity,Trait.Rhizomorphs,Trait.HostTree,SequencingNotes,X,X.1,X.2,Alt.ID,Alt.Seq.File,note,note.1,Hydrogen,OM.Pct,OM.lbsperA,Phos.Bray,Phos.Olsen,K,Mg,Ca,Na,Soil.pH,Buffer.Index.pH,CEC.meq,K.sat,Mg.sat,Ca.sat,H.sat,Na.sat,Nitrate,Sulfur
1,T5_1B,3,1,B,5,1,T01-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,9-7B_4A_Rnd2_3_F08_F_2.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
2,T5_1B,23,1,B,5,1,T01-B,1,Elaphomyces muricatus (97%),y,shortdistance,,n,n,Picea,9-8C_GenPri,low qual,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
3,T5_1A,23,1,A,5,1,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1A_GenPri_Plate1_H08_2.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
4,T5_1A,23,1,A,5,1,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1D_GenPri_Rnd2.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
5,T5_1A,23,1,A,5,1,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2B_GenPri_Plate1_D09.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
6,T5_1A,23,1,A,5,1,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2G_GenPri_Plate1_H09.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
7,T5_1B,23,1,B,5,1,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7E_GenPri_Plate8_D07.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
8,T5_1B,23,1,B,5,1,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7H_GenPri_Plate8_G07.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
9,T5_1B,23,1,B,5,1,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-8H_GenPri_Plate8_F08.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
10,T5_1B,9,1,B,5,1,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-7G_GenPri_Plate8_F07.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
11,T5_1B,9,1,B,5,1,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-8A_4B_Rnd2_2_G04_F_2.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
12,T5_1B,65,1,B,5,1,T01-B,1,Uncultured Atheliaceae,y,,,,,,9-7C_GenPri_Plate8_C07.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
13,T5_1A,8,1,A,5,1,T01-A,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,2-2H_GenPri_Plate1_A10.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
14,T5_1B,8,1,B,5,1,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8F_GenPri_Plate8_D08.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
15,T5_1B,8,1,B,5,1,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8G_GenPri_Plate8_E08.ab1,,NA,NA,NA,,,NA,9.8,39.3,816,4,17,99,169,295,32,4,6.2,13,1.9,10.7,11.3,75,1.1,1,7
16,T5_1A,32,1,A,5,1,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_4B_Plate10_A09.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
17,T5_1A,32,1,A,5,1,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_GenPri_Plate1_F09_2.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
18,T5_1A,35,1,A,5,1,T01-A,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,2-1E_4A_Rnd2_2_G08_F_2.ab1,,NA,NA,NA,,,NA,6.8,2.6,83,3,12,162,81,244,23,4.1,6.4,9.2,4.5,7.2,13.2,74,1.1,1,7
19,T5_2B,3,2,B,5,1,T02-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,11-2F_GenPri_Plate10_D01.ab1,,NA,NA,NA,,,NA,7.5,55.9,***,2,14,80,105,268,22,3.6,6.3,10,2.1,8.7,13.3,75,1,1,8
20,T5_2A,3,2,A,5,1,T02-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,6-1B_GenPri_Plate5_E04.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
21,T5_2B,36,2,B,5,1,T02-B,1,Helotiaceae/Sordariomycetes/Phialophora/Magnaporthaceae,y,,,,,,11-2B_GenPri_Plate9_H12.ab1,,NA,NA,NA,,,NA,7.5,55.9,***,2,14,80,105,268,22,3.6,6.3,10,2.1,8.7,13.3,75,1,1,8
22,T5_2B,5,2,B,5,1,T02-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,11-2H_GenPri_Plate10_F01.ab1,,NA,NA,NA,,,NA,7.5,55.9,***,2,14,80,105,268,22,3.6,6.3,10,2.1,8.7,13.3,75,1,1,8
23,T5_2A,9,2,A,5,1,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-1H_GenPri_Plate5_B05.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
24,T5_2A,9,2,A,5,1,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2A_GenPri_Plate5_C05.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
25,T5_2A,9,2,A,5,1,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2B_4B_Plate5_D05.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
26,T5_2A,9,2,A,5,1,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2C_4B_Rnd2.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
27,T5_2A,9,2,A,5,1,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2D_4B_Plate5_F05.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
28,T5_2A,58,2,A,5,1,T02-A,1,Uncultured Mortierella,y,,,,,,6-2F_GenPri_Plate5_H05.ab1,,NA,NA,NA,,,NA,5.9,14.4,319,6,20,60,84,207,19,4,6.4,7.8,1.9,8.8,13.2,75,1,1,8
29,T5_3A,25,3,A,5,1,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10B_GenPri_Plate1_D08.ab1,,NA,NA,NA,,,NA,12.1,72.3,***,3,15,98,153,524,29,4.1,6,16.3,1.5,7.7,16,74,0.8,1,10
30,T5_3A,25,3,A,5,1,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10C_GenPri_Plate1_E08.ab1,,NA,NA,NA,,,NA,12.1,72.3,***,3,15,98,153,524,29,4.1,6,16.3,1.5,7.7,16,74,0.8,1,10
31,T5_3A,25,3,A,5,1,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-9E_GenPri_Plate1_G07.ab1,,NA,NA,NA,,,NA,12.1,72.3,***,3,15,98,153,524,29,4.1,6,16.3,1.5,7.7,16,74,0.8,1,10
32,T5_3A,25,3,A,5,1,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-9H_GenPri_Plate1_B08_2.ab1,,NA,NA,NA,,,NA,12.1,72.3,***,3,15,98,153,524,29,4.1,6,16.3,1.5,7.7,16,74,0.8,1,10
33,T5_3B,25,3,B,5,1,T03-B,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,10-8E_4B_Rnd2_2_A06_F_2.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
34,T5_3B,25,3,B,5,1,T03-B,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,10-8E_GenPri_Plate9_D07.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
35,T5_3B,20,3,B,5,1,T03-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,10-7B_4B_Plate9_B06.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
36,T5_3B,20,3,B,5,1,T03-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,10-7C_4B_Plate9_C06.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
37,T5_3B,20,3,B,5,1,T03-B,1,Dermocybe cortinarius,y,mediumdistancefringe,,y,y,Pinus,10-8D_4B_Plate9_B07.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
38,T5_3B,54,3,B,5,1,T03-B,1,Lactarius xanthogalactus,y,mediumdistancesmooth,contact,,y,Pinus,10-7G_GenPri_Plate9_F06.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
39,T5_3B,24,3,B,5,1,T03-B,1,Uncultured Helotiales (likely Meliniomyces),y,,,,,,10-7D_4A_Rnd2_3_A10_F_2.ab1,,NA,NA,NA,,,NA,3.8,99,***,2,12,33,48,146,15,4,6.6,5.1,1.7,7.8,14.3,75,1.2,1,4
40,T5_4A,3,4,A,5,1,T04-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,2-8F_4A_Rnd2_2_G09_F_2.ab1,,NA,NA,NA,,,NA,2.3,2.8,85,1,8,41,34,102,15,4.2,6.7,3.2,3.2,8.7,15.6,70.4,1.9,1,6
41,T5_4B,3,4,B,5,1,T04-B,1,Cenococcum geophilum (93% match),y,shortdistance,,n,n,Pinus,10-10H_4A,low qual,NA,NA,NA,,,NA,6.5,19.5,421,4,9,82,97,238,20,4.1,6.4,8.8,2.4,9.1,13.6,74,1,1,6
42,T5_4A,45,4,A,5,1,T04-A,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,2-8H_GenPri_Plate2_B03.ab1,,NA,NA,NA,,,NA,2.3,2.8,85,1,8,41,34,102,15,4.2,6.7,3.2,3.2,8.7,15.6,70.4,1.9,1,6
