,Tip,Ecto_spp,Genus,Plot,Site,Salix.spp,Ind,abund,Plspp,mean,Phylum,Order
1,1,Laccaria1,Laccaria,6,89,DIS,BB-3N,1,89DIS,-0.3,Basidiomycota,Agaricales
2,3,Laccaria1,Laccaria,6,89,DIS,BB-3N,1,89DIS,-0.3,Basidiomycota,Agaricales
5,9,Laccaria1,Laccaria,6,89,DIS,BB-3M,1,89DIS,-0.3,Basidiomycota,Agaricales
12,23,Laccaria3,Laccaria,6,89,DIS,BB-3S,1,89DIS,-0.3,Basidiomycota,Agaricales
40,208,Inocybe5,Inocybe,2,10,HUM,10HUM1,1,10HUM,-1,Basidiomycota,Agaricales
44,219,Inocybe5,Inocybe,2,10,HUM,10HUM1,1,10HUM,-1,Basidiomycota,Agaricales
83,303,Inocybe5,Inocybe,2,10,HUM,10HUM3,1,10HUM,-1,Basidiomycota,Agaricales
98,378,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
100,380,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
101,381,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
102,382,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
103,383,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
105,385,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
106,386,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
107,387,Entoloma1,Entoloma,4,26,DIS,26DIS3,1,26DIS,-0.4,Basidiomycota,Agaricales
119,410,Laccaria1,Laccaria,4,26,BEB,26BEB1,1,26BEB,-0.4,Basidiomycota,Agaricales
120,411,Laccaria1,Laccaria,4,26,BEB,26BEB1,1,26BEB,-0.4,Basidiomycota,Agaricales
126,418,Laccaria3,Laccaria,4,26,BEB,26BEB2,1,26BEB,-0.4,Basidiomycota,Agaricales
128,421,Cortinarius1,Cortinarius,4,26,BEB,26BEB2,1,26BEB,-0.4,Basidiomycota,Agaricales
129,422,Cortinarius1,Cortinarius,4,26,BEB,26BEB2,1,26BEB,-0.4,Basidiomycota,Agaricales
131,424,Cortinarius1,Cortinarius,4,26,BEB,26BEB2,1,26BEB,-0.4,Basidiomycota,Agaricales
139,433,Inocybe_lacera_var._lacera,Inocybe,4,26,BEB,26BEB3,1,26BEB,-0.4,Basidiomycota,Agaricales
143,437,Inocybe_lacera_var._lacera,Inocybe,4,26,BEB,26BEB3,1,26BEB,-0.4,Basidiomycota,Agaricales
148,442,Hebeloma_cf._atrobrunneum,Hebeloma,4,26,PET,26PET1,1,26PET,-0.4,Basidiomycota,Agaricales
150,444,Hebeloma_cf._atrobrunneum,Hebeloma,4,26,PET,26PET1,1,26PET,-0.4,Basidiomycota,Agaricales
152,445,Hebeloma3,Hebeloma,4,26,PET,26PET1,1,26PET,-0.4,Basidiomycota,Agaricales
166,464,Cortinarius2,Cortinarius,4,26,PET,26PET3,1,26PET,-0.4,Basidiomycota,Agaricales
186,505,Inocybe_lacera_var._lacera,Inocybe,5,92,BEB,92BEB1,1,92BEB,-0.4,Basidiomycota,Agaricales
187,506,Inocybe_lacera_var._lacera,Inocybe,5,92,BEB,92BEB1,1,92BEB,-0.4,Basidiomycota,Agaricales
188,509,Laccaria3,Laccaria,5,92,BEB,92BEB1,1,92BEB,-0.4,Basidiomycota,Agaricales
189,511,Inocybe_lacera_var._lacera,Inocybe,5,92,BEB,92BEB1,1,92BEB,-0.4,Basidiomycota,Agaricales
190,514,Inocybe_lacera_var._lacera,Inocybe,5,92,BEB,92BEB1,1,92BEB,-0.4,Basidiomycota,Agaricales
191,516,Inocybe_lacera_var._lacera,Inocybe,5,92,BEB,92BEB1,1,92BEB,-0.4,Basidiomycota,Agaricales
199,542,Entoloma1,Entoloma,8,18,PET,18PET1,1,18PET,-0.1,Basidiomycota,Agaricales
200,543,Entoloma1,Entoloma,8,18,PET,18PET1,1,18PET,-0.1,Basidiomycota,Agaricales
215,562,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PET,18PET3,1,18PET,-0.1,Basidiomycota,Agaricales
220,568,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PET,18PET3,1,18PET,-0.1,Basidiomycota,Agaricales
221,571,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED1,1,18PED,-0.1,Basidiomycota,Agaricales
222,572,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED1,1,18PED,-0.1,Basidiomycota,Agaricales
223,573,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED1,1,18PED,-0.1,Basidiomycota,Agaricales
226,580,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED1,1,18PED,-0.1,Basidiomycota,Agaricales
227,582,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED1,1,18PED,-0.1,Basidiomycota,Agaricales
230,586,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED2,1,18PED,-0.1,Basidiomycota,Agaricales
232,588,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED2,1,18PED,-0.1,Basidiomycota,Agaricales
236,593,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,PED,18PED2,1,18PED,-0.1,Basidiomycota,Agaricales
244,601,Hebeloma1,Hebeloma,8,18,PED,18PED3,1,18PED,-0.1,Basidiomycota,Agaricales
266,633,Hebeloma_cf._atrobrunneum,Hebeloma,8,18,DIS,18DIS2,1,18DIS,-0.1,Basidiomycota,Agaricales
283,651,Inocybe_lacera_var._lacera,Inocybe,10,19,PED,19PED1,1,19PED,-0.1,Basidiomycota,Agaricales
286,655,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
287,656,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
288,657,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
289,658,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
291,660,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
292,662,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
293,665,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
294,666,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PED,19PED2,1,19PED,-0.1,Basidiomycota,Agaricales
302,679,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
304,681,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
305,682,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
307,684,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
308,685,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
310,687,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
311,688,Cortinarius1,Cortinarius,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
312,689,Hebeloma_cf._atrobrunneum,Hebeloma,10,19,PET,19PET1,1,19PET,-0.1,Basidiomycota,Agaricales
