"","X","Tip","Ecto_spp","Genus","Plot","Site","Salix.spp","Ind","abund","mean","Phylum","Order","...1","Ecto_ID","Species","Subspecies","Rhizomorph","Foraging_distance","Accession_No","Notes","Tree_site"
"1",1,1,"Laccaria1","Laccaria",6,"89","DIS","BB-3N",1,-0.3,"Basidiomycota","Agaricales",1,"Laccaria tortillus","tortillus","NA","N",NA,"KT275654.1","100% similar","89DIS"
"2",2,3,"Laccaria1","Laccaria",6,"89","DIS","BB-3N",1,-0.3,"Basidiomycota","Agaricales",1,"Laccaria tortillus","tortillus","NA","N",NA,"KT275654.1","100% similar","89DIS"
"3",5,9,"Laccaria1","Laccaria",6,"89","DIS","BB-3M",1,-0.3,"Basidiomycota","Agaricales",1,"Laccaria tortillus","tortillus","NA","N",NA,"KT275654.1","100% similar","89DIS"
"4",12,23,"Laccaria3","Laccaria",6,"89","DIS","BB-3S",1,-0.3,"Basidiomycota","Agaricales",2,"Laccaria pumila","pumila",NA,NA,NA,"KT275627.1","99% similar, also Lactarius obscuratus and Laccaria aff. Montana","89DIS"
"5",40,208,"Inocybe5","Inocybe",2,"10","HUM","10HUM1",1,-1,"Basidiomycota","Agaricales",3,"Inocybe cincinnata","cincinnata",NA,NA,NA,"KT275629.1","97% similar","10HUM"
"6",44,219,"Inocybe5","Inocybe",2,"10","HUM","10HUM1",1,-1,"Basidiomycota","Agaricales",3,"Inocybe cincinnata","cincinnata",NA,NA,NA,"KT275629.1","97% similar","10HUM"
"7",83,303,"Inocybe5","Inocybe",2,"10","HUM","10HUM3",1,-1,"Basidiomycota","Agaricales",3,"Inocybe cincinnata","cincinnata",NA,NA,NA,"KT275629.1","97% similar","10HUM"
"8",98,378,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"9",100,380,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"10",101,381,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"11",102,382,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"12",103,383,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"13",105,385,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"14",106,386,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"15",107,387,"Entoloma1","Entoloma",4,"26","DIS","26DIS3",1,-0.4,"Basidiomycota","Agaricales",4,"Entoloma paludicola","paludicola",NA,NA,NA,"KT275678.1","99% similar across 99%","26DIS"
"16",119,410,"Laccaria1","Laccaria",4,"26","BEB","26BEB1",1,-0.4,"Basidiomycota","Agaricales",1,"Laccaria tortillus","tortillus","NA","N",NA,"KT275654.1","100% similar","26BEB"
"17",120,411,"Laccaria1","Laccaria",4,"26","BEB","26BEB1",1,-0.4,"Basidiomycota","Agaricales",1,"Laccaria tortillus","tortillus","NA","N",NA,"KT275654.1","100% similar","26BEB"
"18",126,418,"Laccaria3","Laccaria",4,"26","BEB","26BEB2",1,-0.4,"Basidiomycota","Agaricales",2,"Laccaria pumila","pumila",NA,NA,NA,"KT275627.1","99% similar, also Lactarius obscuratus and Laccaria aff. Montana","26BEB"
"19",128,421,"Cortinarius1","Cortinarius",4,"26","BEB","26BEB2",1,-0.4,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","26BEB"
"20",129,422,"Cortinarius1","Cortinarius",4,"26","BEB","26BEB2",1,-0.4,"Basidiomycota","Agaricales",5,"Cortinarius junghuhnii","junghuhnii",NA,NA,NA,"KT275660.1","99% across 99%, also decepiens, also leucopus","26BEB"
