"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"1",208,"Inocybe5","short","exploration_type",2,"10","HUM","10HUM1","10HUM",-1,3,"Inocybe cincinnata","cincinnata",NA,NA,"Inocybe",NA,"short-distance_delicate"
"2",219,"Inocybe5","short","exploration_type",2,"10","HUM","10HUM1","10HUM",-1,3,"Inocybe cincinnata","cincinnata",NA,NA,"Inocybe",NA,"short-distance_delicate"
"3",303,"Inocybe5","short","exploration_type",2,"10","HUM","10HUM3","10HUM",-1,3,"Inocybe cincinnata","cincinnata",NA,NA,"Inocybe",NA,"short-distance_delicate"
"4",433,"Inocybe_lacera_var._lacera","short","exploration_type",4,"26","BEB","26BEB3","26BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"5",437,"Inocybe_lacera_var._lacera","short","exploration_type",4,"26","BEB","26BEB3","26BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"6",505,"Inocybe_lacera_var._lacera","short","exploration_type",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"7",506,"Inocybe_lacera_var._lacera","short","exploration_type",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"8",511,"Inocybe_lacera_var._lacera","short","exploration_type",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"9",514,"Inocybe_lacera_var._lacera","short","exploration_type",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"10",516,"Inocybe_lacera_var._lacera","short","exploration_type",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"11",651,"Inocybe_lacera_var._lacera","short","exploration_type",10,"19","PED","19PED1","19PED",-0.1,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"12",921,"Inocybe_lacera_var._lacera","short","exploration_type",7,"34","CAN","34CAN3","34CAN",-0.1,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
