"","site","tree","enviro","OTU_716","OTU_2328","OTU_120","OTU_253","OTU_2287","OTU_1048","OTU_1034","OTU_473","OTU_734","OTU_429","OTU_217","OTU_1267","OTU_1575","OTU_160","OTU_2715","OTU_1955","OTU_467","OTU_306","OTU_2364","OTU_1965","OTU_1705","OTU_1604","OTU_1726","OTU_2896","OTU_2745","OTU_1166","OTU_991","OTU_830","OTU_325","OTU_860","OTU_2594","OTU_1164","OTU_623","OTU_1165","OTU_565","OTU_200","OTU_2498","OTU_909","OTU_1513","OTU_288","OTU_1266","OTU_1140","OTU_522","OTU_482","OTU_1337","OTU_318","OTU_188","OTU_289","OTU_784","OTU_1227","OTU_672","OTU_879","OTU_459","OTU_762","OTU_1298","OTU_2216","OTU_1474","OTU_1224","OTU_1338","OTU_2641","OTU_156","OTU_1446","OTU_1967","OTU_1951","OTU_2548","OTU_981","OTU_376","OTU_1303","OTU_1262","OTU_1138","OTU_2332","OTU_2223","OTU_1239","OTU_1542","OTU_2727","OTU_1586","OTU_926","OTU_2133","OTU_2898","OTU_2373","OTU_2150","OTU_2341","OTU_1717","OTU_983","OTU_2412","OTU_155","OTU_2314","OTU_1226","OTU_1551","OTU_1547","OTU_870","OTU_1572","OTU_2588","OTU_1727","OTU_1767","OTU_2551","OTU_2849","OTU_1328","OTU_2041","OTU_2161","OTU_861","OTU_1145","OTU_1079","OTU_580","OTU_2485","OTU_1451","OTU_2788","OTU_1746","OTU_574","OTU_1028","OTU_1708","OTU_1778","OTU_1954","OTU_1526","OTU_1546","OTU_2059","OTU_2262"
"1","tejon","ARCO01L","arid",2.646093,0,0,6.366765,2.646093,4.373221,0,0,0,0,4.124043,0,0,9.125486,0.728976,0,4.624606,0,2.921174,0,0,0,0,0,1.571622,0,0,1.210965,3.525993,0,0,0,0,0.728976,4.27865,7.732695,0.728976,5.761669,0,5.796218,0.728976,0,1.571622,0,0,0,0.728976,0,0,0,0,0,0.728976,2.486003,0,0,0,0,0,0,0,0,0,4.504382,1.210965,2.79018,1.859909,2.305904,0,0,0,0,0,0,1.210965,0,1.571622,1.571622,1.210965,2.646093,0.728976,2.646093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","tejon","ARCO02L","arid",1.851024,0,0,5.801128,1.204004,5.93012,0,0,0,0,1.204004,0,0,5.070154,1.851024,0,0,0,1.204004,0,0,0,0,0,0,0,0,0,4.165844,0,0,0,1.851024,2.296118,3.340059,1.851024,0,1.204004,0,3.670617,1.204004,0,0,1.851024,0,0,4.687724,8.169082,0,0,0,0,0,0,0,0,0,1.204004,0,0,0,0,1.204004,0,1.204004,1.851024,2.296118,1.851024,0,0,0,0,0,0,0,1.204004,0,0,1.204004,0,0,0,0,1.204004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","tejon","ARCO03L","arid",1.234612,0,0,1.890003,1.234612,1.234612,0,5.378352,0,0,0,0,0,0,1.890003,0,3.861141,0,0,0,0,0,0,0,1.234612,0,0,0,3.388501,0,0,0,2.339006,0,2.339006,0,0,0,0,5.330638,0,0,0,2.957153,0,0,1.234612,0,0,0,0,0,0,0,0,0,0,0,2.339006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.861141,0,0,0,1.234612,0,0,0,0,0,0,0,0,0,0,1.890003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","tejon","ARCO04L","arid",0,0,0,1.244804,0,0,0,4.233291,0,0,0,0,1.244804,0,0,0,0,0,0,2.972567,0,0,0,0,0,0,0,0,2.972567,6.280072,0,0,2.695872,1.902933,0,0,0,1.902933,1.244804,5.395607,0,0,0,1.244804,0,0,1.244804,0,0,0,0,0,1.244804,5.441807,0,0,0,0,3.4045,0,0,0,0,0,0,1.244804,1.244804,0,0,0,0,0,1.902933,0,0,1.902933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.729411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","tejon","ARCO05L","arid",0,0,0,0,0,1.215835,0,4.778998,0,1.215835,1.215835,0,0,0,0,0,0,0,0,0,0,0,0,0,3.830612,0,0,0,3.689832,0,1.866118,0,4.185531,1.215835,0,0,1.866118,0,0,3.533814,0,0,0,1.866118,1.215835,3.358855,2.312739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.215835,0,0,0,0,0,0,0,0,0,0,0,0,0,6.097196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","tejon","ARCO06L","arid",0,0,0,7.271061,0,5.64108,0,4.015878,0,0,2.128518,0,0,0,2.128518,0,4.158935,0,1.425642,0,1.425642,0,0,0,0,0,0,0,5.374072,0,0,1.425642,3.237518,0,0,7.190074,1.425642,0,0,3.237518,0,0,1.425642,2.953333,0,4.289078,5.540126,0,0,0,0,0,0,1.425642,0,0,0,0,0,0,0,0,0,0,0,2.599085,0,3.474831,0,0,0,0,0,0,0,1.425642,0,2.953333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","tejon","ARCO07L","arid",1.289886,0,0,5.097484,0,2.415559,0,3.040092,0,0,3.650844,0,0,0,1.959834,0,5.470947,0,0,0,1.289886,0,0,0,3.474515,2.415559,0,0,2.761359,4.755505,0,0,6.330554,0,0,0,0,1.289886,0,0,0,0,0,2.415559,0,1.959834,0,0,0,0,1.289886,0,0,0,0,0,1.959834,1.959834,1.959834,1.959834,0,0,0,0,0,3.040092,0,3.040092,0,0,0,0,0,0,0,1.959834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","tejon","ARCO08L","arid",0,0,0,4.202271,0,4.042109,0,3.655972,1.552985,3.861921,3.861921,0,0,1.552985,1.552985,0,4.907542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552985,0,0,2.283469,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552985,0,0,1.552985,0,0,0,0,0,0,0,2.766109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415648,1.552985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","tejon","ARCO09L","arid",0,0,0,4.202826,0,2.481028,0,0,0,0,2.700338,0,0,4.202826,1.906802,0,1.502423,5.087346,0,4.579829,2.222298,1.906802,0,0,0,0,0,0,4.12917,0,0,0,1.502423,2.222298,0,0,0,0,0,4.464771,0,0,0.938542,5.462044,0,0,5.520828,0,0,0.938542,0,0,0,1.502423,0,0.938542,0,0,1.502423,0,0,3.209346,0,0,0,0,0,0,0,0,0,0,1.906802,0,0,3.584852,0,0,0,0,0,0,0,5.577311,0,0,0,0,0,0,1.502423,0.938542,0,0,0,0,0,0,0,0,0.938542,3.058788,0.938542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","tejon","ARCO20","arid",0,0,0,0,1.095157,0,0,5.606658,0,1.095157,1.095157,0,0,1.095157,0,0,0,0,0,0,0,0,1.095157,0,0,0,0,1.095157,4.423211,2.471306,0,0,0,3.16262,0,5.502018,0,3.754888,0,4.079727,0,0,0,1.710493,0,0,10.27305,0,0,0,0,0,0,0,0,0,0,4.423211,0,0,0,0,0,1.095157,0,0,0,0,0,0,0,0,0,0,0,1.710493,0,2.140481,0,0,0,0,0,1.710493,0,0,0,0,0,0,7.216525,0,0,0,0,0,0,0,0,0,0,6.247928,0,1.095157,2.140481,0,0,0,0,0,0,0,0,0,0,0,0
