"","Tree_site","contact","medium","r_false","r_true","short"
"1","10DIS","0.8000000","0.00000000","0.00000000","0.8000000","0.00000000"
"2","10HUM","0.4545455","0.00000000","0.27272727","0.4545455","0.27272727"
"3","10PET","0.3636364","0.00000000","0.00000000","0.3636364","0.00000000"
"4","18DIS","0.0000000","0.22222222","0.00000000","0.0000000","0.00000000"
"5","18PET","0.0000000","0.27272727","0.00000000","0.0000000","0.00000000"
"6","19PED","0.0000000","0.00000000","0.11111111","0.0000000","0.11111111"
"7","26BEB","0.0000000","0.00000000","0.33333333","0.0000000","0.00000000"
"8","34CAN","0.0000000","0.00000000","0.09677419","0.0000000","0.09677419"
"9","40BEB","0.0000000","0.11764706","0.00000000","0.0000000","0.00000000"
"10","40DIS","0.0000000","0.22222222","0.22222222","0.0000000","0.22222222"
"11","40PET","0.0000000","0.42857143","0.00000000","0.0000000","0.00000000"
"12","49PED","0.0000000","0.03448276","0.13793103","0.0000000","0.00000000"
"13","89DIS","0.0000000","0.18181818","0.36363636","0.0000000","0.36363636"
"14","89PET","0.0000000","0.50000000","0.00000000","0.0000000","0.00000000"
"15","92BEB","0.0000000","0.00000000","0.45454545","0.0000000","0.00000000"
"16","AS1HUM","0.2380952","0.00000000","0.00000000","0.0000000","0.38095238"
"17","AS3PET","0.0000000","0.00000000","0.07692308","0.0000000","0.00000000"
