"","Tip","Ecto_spp","type","trait"
"1",208,"Inocybe5","short","exploration_type"
"2",219,"Inocybe5","short","exploration_type"
"3",303,"Inocybe5","short","exploration_type"
"4",433,"Inocybe_lacera_var._lacera","short","exploration_type"
"5",437,"Inocybe_lacera_var._lacera","short","exploration_type"
"6",505,"Inocybe_lacera_var._lacera","short","exploration_type"
"7",506,"Inocybe_lacera_var._lacera","short","exploration_type"
"8",511,"Inocybe_lacera_var._lacera","short","exploration_type"
"9",514,"Inocybe_lacera_var._lacera","short","exploration_type"
"10",516,"Inocybe_lacera_var._lacera","short","exploration_type"
"11",651,"Inocybe_lacera_var._lacera","short","exploration_type"
"12",921,"Inocybe_lacera_var._lacera","short","exploration_type"
"13",926,"Inocybe_lacera_var._lacera","short","exploration_type"
"14",927,"Inocybe_lacera_var._lacera","short","exploration_type"
"15",1030,"Cortinarius3","medium","exploration_type"
"16",1031,"Cortinarius3","medium","exploration_type"
"17",1037,"Cortinarius3","medium","exploration_type"
"18",1075,"Hebeloma2","short","exploration_type"
"19",1084,"Hebeloma2","short","exploration_type"
"20",13,"Cenococcum_geophilum","short","exploration_type"
"21",215,"Cenococcum_geophilum","short","exploration_type"
"22",218,"Cenococcum_geophilum","short","exploration_type"
"23",221,"Cenococcum_geophilum","short","exploration_type"
"24",766,"Cenococcum_geophilum","short","exploration_type"
"25",771,"Cenococcum_geophilum","short","exploration_type"
"26",1080,"Cenococcum_geophilum","short","exploration_type"
"27",1085,"Cenococcum_geophilum","short","exploration_type"
"28",1196,"Cenococcum_geophilum","short","exploration_type"
"29",1198,"Cenococcum_geophilum","short","exploration_type"
"30",1202,"Cenococcum_geophilum","short","exploration_type"
"31",1206,"Cenococcum_geophilum","short","exploration_type"
"32",1216,"Cenococcum_geophilum","short","exploration_type"
"33",1220,"Cenococcum_geophilum","short","exploration_type"
"34",1225,"Cenococcum_geophilum","short","exploration_type"
"35",1227,"Cenococcum_geophilum","short","exploration_type"
"36",1354,"Cenococcum_geophilum","short","exploration_type"
"37",1359,"Cenococcum_geophilum","short","exploration_type"
"38",518,"Tuber3","short","exploration_type"
"39",1351,"Tuber3","short","exploration_type"
"40",1355,"Tuber3","short","exploration_type"
"41",1356,"Tuber3","short","exploration_type"
"42",194,"Russula_nigricans","contact","exploration_type"
"43",195,"Russula_nigricans","contact","exploration_type"
"44",197,"Russula_nigricans","contact","exploration_type"
"45",198,"Russula_nigricans","contact","exploration_type"
"46",254,"Russula_nigricans","contact","exploration_type"
"47",255,"Russula_nigricans","contact","exploration_type"
"48",256,"Russula_nigricans","contact","exploration_type"
"49",257,"Russula_nigricans","contact","exploration_type"
"50",259,"Russula_nigricans","contact","exploration_type"
"51",260,"Russula_nigricans","contact","exploration_type"
"52",261,"Russula_nigricans","contact","exploration_type"
"53",262,"Russula_nigricans","contact","exploration_type"
"54",282,"Russula_nigricans","contact","exploration_type"
"55",283,"Russula_nigricans","contact","exploration_type"
"56",284,"Russula_nigricans","contact","exploration_type"
"57",285,"Russula_nigricans","contact","exploration_type"
"58",286,"Russula_nigricans","contact","exploration_type"
